exposure_id,exposure_seed,ego_speed,front_distance,front_speed,ego_lane,target_lane_gap
H2AB0000,9100000,25,142.5,11,1,
H2AB0001,9100001,25,157.5,11,1,
H2AB0002,9100002,25,172.5,11,1,
H2AB0003,9100003,25,187.5,11,1,
H2AB0004,9100004,25,142.5,15,1,
H2AB0005,9100005,25,157.5,15,1,
H2AB0006,9100006,25,172.5,15,1,
H2AB0007,9100007,25,187.5,15,1,
H2AB0008,9100008,25,142.5,19,1,
H2AB0009,9100009,25,157.5,19,1,
H2AB0010,9100010,25,172.5,19,1,
H2AB0011,9100011,25,187.5,19,1,
H2AB0012,9100012,27,142.5,11,1,
H2AB0013,9100013,27,157.5,11,1,
H2AB0014,9100014,27,172.5,11,1,
H2AB0015,9100015,27,187.5,11,1,
H2AB0016,9100016,27,142.5,15,1,
H2AB0017,9100017,27,157.5,15,1,
H2AB0018,9100018,27,172.5,15,1,
H2AB0019,9100019,27,187.5,15,1,
H2AB0020,9100020,27,142.5,19,1,
H2AB0021,9100021,27,157.5,19,1,
H2AB0022,9100022,27,172.5,19,1,
H2AB0023,9100023,27,187.5,19,1,
H2AB0024,9100024,29,142.5,11,1,
H2AB0025,9100025,29,157.5,11,1,
H2AB0026,9100026,29,172.5,11,1,
H2AB0027,9100027,29,187.5,11,1,
H2AB0028,9100028,29,142.5,15,1,
H2AB0029,9100029,29,157.5,15,1,
H2AB0030,9100030,29,172.5,15,1,
H2AB0031,9100031,29,187.5,15,1,
H2AB0032,9100032,29,142.5,19,1,
H2AB0033,9100033,29,157.5,19,1,
H2AB0034,9100034,29,172.5,19,1,
H2AB0035,9100035,29,187.5,19,1,
