exposure_id,exposure_seed,ego_speed,front_distance,front_speed,ego_lane,target_lane_gap
H2C0000,9100000,28,142.5,11,1,25
H2C0001,9100001,28,157.5,11,1,25
H2C0002,9100002,28,172.5,11,1,25
H2C0003,9100003,28,187.5,11,1,25
H2C0004,9100004,28,142.5,15,1,25
H2C0005,9100005,28,157.5,15,1,25
H2C0006,9100006,28,172.5,15,1,25
H2C0007,9100007,28,187.5,15,1,25
H2C0008,9100008,28,142.5,19,1,25
H2C0009,9100009,28,157.5,19,1,25
H2C0010,9100010,28,172.5,19,1,25
H2C0011,9100011,28,187.5,19,1,25
H2C0012,9100012,28,142.5,11,1,55
H2C0013,9100013,28,157.5,11,1,55
H2C0014,9100014,28,172.5,11,1,55
H2C0015,9100015,28,187.5,11,1,55
H2C0016,9100016,28,142.5,15,1,55
H2C0017,9100017,28,157.5,15,1,55
H2C0018,9100018,28,172.5,15,1,55
H2C0019,9100019,28,187.5,15,1,55
H2C0020,9100020,28,142.5,19,1,55
H2C0021,9100021,28,157.5,19,1,55
H2C0022,9100022,28,172.5,19,1,55
H2C0023,9100023,28,187.5,19,1,55
H2C0024,9100024,28,142.5,11,1,85
H2C0025,9100025,28,157.5,11,1,85
H2C0026,9100026,28,172.5,11,1,85
H2C0027,9100027,28,187.5,11,1,85
H2C0028,9100028,28,142.5,15,1,85
H2C0029,9100029,28,157.5,15,1,85
H2C0030,9100030,28,172.5,15,1,85
H2C0031,9100031,28,187.5,15,1,85
H2C0032,9100032,28,142.5,19,1,85
H2C0033,9100033,28,157.5,19,1,85
H2C0034,9100034,28,172.5,19,1,85
H2C0035,9100035,28,187.5,19,1,85
