exposure_id,exposure_seed,ego_speed,front_distance,front_speed,ego_lane
H0000,9000000,25.0,130.0,11.0,1
H0001,9000001,25.0,170.0,11.0,1
H0002,9000002,25.0,210.0,11.0,1
H0003,9000003,25.0,250.0,11.0,1
H0004,9000004,25.0,130.0,15.0,1
H0005,9000005,25.0,170.0,15.0,1
H0006,9000006,25.0,210.0,15.0,1
H0007,9000007,25.0,250.0,15.0,1
H0008,9000008,25.0,130.0,19.0,1
H0009,9000009,25.0,170.0,19.0,1
H0010,9000010,25.0,210.0,19.0,1
H0011,9000011,25.0,250.0,19.0,1
H0012,9000012,27.0,130.0,11.0,1
H0013,9000013,27.0,170.0,11.0,1
H0014,9000014,27.0,210.0,11.0,1
H0015,9000015,27.0,250.0,11.0,1
H0016,9000016,27.0,130.0,15.0,1
H0017,9000017,27.0,170.0,15.0,1
H0018,9000018,27.0,210.0,15.0,1
H0019,9000019,27.0,250.0,15.0,1
H0020,9000020,27.0,130.0,19.0,1
H0021,9000021,27.0,170.0,19.0,1
H0022,9000022,27.0,210.0,19.0,1
H0023,9000023,27.0,250.0,19.0,1
H0024,9000024,29.0,130.0,11.0,1
H0025,9000025,29.0,170.0,11.0,1
H0026,9000026,29.0,210.0,11.0,1
H0027,9000027,29.0,250.0,11.0,1
H0028,9000028,29.0,130.0,15.0,1
H0029,9000029,29.0,170.0,15.0,1
H0030,9000030,29.0,210.0,15.0,1
H0031,9000031,29.0,250.0,15.0,1
H0032,9000032,29.0,130.0,19.0,1
H0033,9000033,29.0,170.0,19.0,1
H0034,9000034,29.0,210.0,19.0,1
H0035,9000035,29.0,250.0,19.0,1
